state,ref_cv,test,cv_time
"(0, 0, 0, 0)",0.90374829001368,0.8881118881118881,0.026388100000019676
"(0, 0, 0, 1)",0.9061012311901505,0.8881118881118881,0.01829757799998788
"(0, 0, 0, 2)",0.9061012311901505,0.8881118881118881,0.03041355499999554
"(0, 0, 1, 0)",0.90374829001368,0.8881118881118881,0.03369481099997529
"(0, 0, 1, 1)",0.9061012311901505,0.8881118881118881,0.017321499999980006
"(0, 0, 1, 2)",0.9061012311901505,0.8881118881118881,0.03817477100000133
"(0, 0, 2, 0)",0.90374829001368,0.8881118881118881,0.017377571999986685
"(0, 0, 2, 1)",0.9061012311901505,0.8881118881118881,0.01970130199998721
"(0, 0, 2, 2)",0.9061012311901505,0.8881118881118881,0.01771273399998563
"(0, 0, 3, 0)",0.90374829001368,0.8881118881118881,0.016188237999983812
"(0, 0, 3, 1)",0.9061012311901505,0.8881118881118881,0.026111016000015752
"(0, 0, 3, 2)",0.9061012311901505,0.8881118881118881,0.026256762999992134
"(0, 0, 4, 0)",0.90374829001368,0.8881118881118881,0.0357431820000329
"(0, 0, 4, 1)",0.9061012311901505,0.8881118881118881,0.03418324000000439
"(0, 0, 4, 2)",0.9061012311901505,0.8881118881118881,0.03467114599999377
"(0, 1, 0, 0)",0.90374829001368,0.8881118881118881,0.037394733000041924
"(0, 1, 0, 1)",0.9061012311901505,0.8881118881118881,0.017897629999993114
"(0, 1, 0, 2)",0.9061012311901505,0.8881118881118881,0.018081682999991244
"(0, 1, 1, 0)",0.90374829001368,0.8881118881118881,0.024751116999993883
"(0, 1, 1, 1)",0.9061012311901505,0.8881118881118881,0.025514611000005516
"(0, 1, 1, 2)",0.9061012311901505,0.8881118881118881,0.017352889000051164
"(0, 1, 2, 0)",0.90374829001368,0.8881118881118881,0.01679168199996184
"(0, 1, 2, 1)",0.9061012311901505,0.8881118881118881,0.03912192100000311
"(0, 1, 2, 2)",0.9061012311901505,0.8881118881118881,0.01740092500000401
"(0, 1, 3, 0)",0.90374829001368,0.8881118881118881,0.03231314200002089
