task,method,seed,n_evals,folds,wall,own_best,ref_cv,regret,test,hit_optimum
svc_digits,ags_default,0,18,90,1.801661007000007,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.984,False
svc_digits,ags_default,1,13,65,1.265054561999989,0.9719999999999999,0.9720000000000001,0.010666666666666491,0.976,False
svc_digits,ags_default,2,15,75,1.49740362,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_default,3,13,65,1.2832636750000006,0.9800000000000001,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_default,4,14,70,1.4444954749999965,0.984,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_default,5,13,65,1.2878149910000047,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_default,6,17,82,1.65818316900004,0.9813333333333334,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_default,7,17,85,1.2997007480000207,0.9786666666666667,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_default,8,17,85,1.5667327809999847,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_default,9,13,65,0.9887867819999769,0.9786666666666667,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_no_early_stop,0,40,183,3.219852075999995,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.984,False
svc_digits,ags_no_early_stop,1,40,197,3.377860877000046,0.9746666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_no_early_stop,2,40,188,3.552402519999987,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_no_early_stop,3,40,178,3.4807461999999987,0.9826666666666666,0.9826666666666666,0.0,0.988,True
svc_digits,ags_no_early_stop,4,40,183,3.491964863000021,0.984,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_no_early_stop,5,40,179,3.360711057000003,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_no_early_stop,6,40,151,3.1125185020000004,0.9813333333333334,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_no_early_stop,7,40,176,2.923566672999982,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,ags_no_early_stop,8,40,179,3.347286574000009,0.984,0.9826666666666666,0.0,0.988,True
svc_digits,ags_no_early_stop,9,40,159,2.7967017820000137,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,ags_no_prune_no_stop,0,40,200,3.6842542819999835,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.984,False
svc_digits,ags_no_prune_no_stop,1,40,200,3.372730187000002,0.9746666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_no_prune_no_stop,2,40,200,3.9854128470000205,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_no_prune_no_stop,3,40,200,4.009314407999966,0.9826666666666666,0.9826666666666666,0.0,0.988,True
svc_digits,ags_no_prune_no_stop,4,40,200,3.9767045019999614,0.984,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_no_prune_no_stop,5,40,200,3.5834452929999543,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_no_prune_no_stop,6,40,200,4.512643561999994,0.9813333333333334,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_no_prune_no_stop,7,40,200,3.3734314019999943,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,ags_no_prune_no_stop,8,40,200,3.7459776199999624,0.984,0.9826666666666666,0.0,0.988,True
svc_digits,ags_no_prune_no_stop,9,40,200,3.771489724999981,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,ags_gp_no_stop,0,40,179,4.5470348270000045,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.984,False
svc_digits,ags_gp_no_stop,1,40,194,4.6596976149999705,0.9746666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_gp_no_stop,2,40,194,5.137562991999971,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_gp_no_stop,3,40,178,5.078859180999984,0.9826666666666666,0.9826666666666666,0.0,0.988,True
svc_digits,ags_gp_no_stop,4,40,178,4.994594844000005,0.984,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_gp_no_stop,5,40,178,5.28070832100002,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,ags_gp_no_stop,6,40,148,4.594972491000021,0.9813333333333334,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,ags_gp_no_stop,7,40,177,4.3657710010000415,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,ags_gp_no_stop,8,40,174,4.605313951000028,0.984,0.9826666666666666,0.0,0.988,True
svc_digits,ags_gp_no_stop,9,40,152,4.187092036000024,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,random,0,40,200,4.330333174999964,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,random,1,40,200,4.810055948000013,0.9746666666666666,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,random,2,40,200,4.573167005000016,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,random,3,40,200,4.751835495000023,0.9800000000000001,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,random,4,40,200,4.351366968000036,0.984,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,random,5,40,200,4.798564265000039,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,random,6,40,200,4.135648411000034,0.9800000000000001,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,random,7,40,200,4.342288521,0.9799999999999999,0.9813333333333333,0.0013333333333332975,0.996,False
