method,seed,budget,n_evals,folds,own_cv,test,pick,wall_total
optuna_tpe,1,100,150,500,0.8901283305777687,0.8876786140633635,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",1057.3416412300003
optuna_tpe,1,150,150,750,0.8902453014812565,0.888863837904613,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.0, 'max_features': 0.5, 'max_iter': 200}",1057.3416412300003
ags_default,2,25,25,125,0.8673662426471415,0.861776864541896,"{'learning_rate': 0.05, 'max_leaf_nodes': 8, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",28.68324518899999
ags_no_early_stop,2,25,150,125,0.8673662426471415,0.861776864541896,"{'learning_rate': 0.05, 'max_leaf_nodes': 8, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",455.98575156200013
ags_no_early_stop,2,50,150,250,0.8772390367895986,0.8762012608349938,"{'learning_rate': 0.1, 'max_leaf_nodes': 16, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",455.98575156200013
ags_no_early_stop,2,100,150,500,0.8895929637502672,0.8824246576306389,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",455.98575156200013
ags_no_early_stop,2,150,150,750,0.8901170833755103,0.8811029966104669,"{'learning_rate': 0.3, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",455.98575156200013
random,2,25,150,125,0.8879666183036969,0.8822212087278558,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.7, 'max_iter': 100}",168.33298338999975
random,2,50,150,250,0.8879666183036969,0.8822212087278558,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.7, 'max_iter': 100}",168.33298338999975
random,2,100,150,500,0.8879666183036969,0.8822212087278558,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.7, 'max_iter': 100}",168.33298338999975
random,2,150,150,750,0.8879666183036969,0.8822212087278558,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.7, 'max_iter': 100}",168.33298338999975
optuna_tpe,2,25,150,125,0.8905984636321715,0.8814442327452174,"{'learning_rate': 0.5, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 1.0, 'max_features': 1.0, 'max_iter': 100}",776.2914195170001
optuna_tpe,2,50,150,250,0.8950501062860614,0.8876786140633635,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",776.2914195170001
optuna_tpe,2,100,150,500,0.8954550055673651,0.887577523727796,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 1.0, 'max_iter': 200}",776.2914195170001
optuna_tpe,2,150,150,750,0.8954550055673651,0.887577523727796,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 1.0, 'max_iter': 200}",776.2914195170001
ags_default,3,17,17,85,0.8822597878777654,0.8766101428094293,"{'learning_rate': 0.3, 'max_leaf_nodes': 127, 'max_depth': 8, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.3, 'max_iter': 200}",41.50906165299966
ags_no_early_stop,3,25,150,119,0.8822597878777654,0.8766101428094293,"{'learning_rate': 0.3, 'max_leaf_nodes': 127, 'max_depth': 8, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.3, 'max_iter': 200}",275.84802269600004
ags_no_early_stop,3,50,150,215,0.8825529649499687,0.8725365827555516,"{'learning_rate': 0.5, 'max_leaf_nodes': 127, 'max_depth': 6, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.3, 'max_iter': 200}",275.84802269600004
ags_no_early_stop,3,100,150,389,0.8825529649499687,0.8725365827555516,"{'learning_rate': 0.5, 'max_leaf_nodes': 127, 'max_depth': 6, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.3, 'max_iter': 200}",275.84802269600004
ags_no_early_stop,3,150,150,567,0.8825529649499687,0.8725365827555516,"{'learning_rate': 0.5, 'max_leaf_nodes': 127, 'max_depth': 6, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.3, 'max_iter': 200}",275.84802269600004
random,3,25,150,125,0.8821630619383429,0.8784277642254271,"{'learning_rate': 0.3, 'max_leaf_nodes': 127, 'max_depth': 8, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 0.5, 'max_iter': 100}",170.7014544829999
random,3,50,150,250,0.8821630619383429,0.8784277642254271,"{'learning_rate': 0.3, 'max_leaf_nodes': 127, 'max_depth': 8, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 0.5, 'max_iter': 100}",170.7014544829999
random,3,100,150,500,0.8840076031087267,0.8810433488123052,"{'learning_rate': 0.3, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.0, 'max_features': 0.7, 'max_iter': 100}",170.7014544829999
random,3,150,150,750,0.8887246797359156,0.8818767406479371,"{'learning_rate': 0.2, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 50}",170.7014544829999
